Epoch	Sell	Buy	Hold	AverageEpProfit	StdEpProfit	MaxEpProfit	MinEpProfit	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpProfit	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
22	0.0	333.0	0.0	-3649.7778	2184.093	300.0	-6997.0	-518.7314	225.30313	-111.697	-852.659	-295.78	0.0	-295.78	-295.78	111.0	-1126.0	111.0	21999	-219.02155	170.84601	1081.0406	-661.0354	218.92879	1864.0077	143.02781295776367
23	0.0	333.0	0.0	-2017.1111	2922.5881	2952.0	-7393.0	-347.34534	296.00873	152.811	-885.315	-295.78	0.0	-295.78	-295.78	111.0	-1126.0	111.0	22999	-212.78816	167.0035	1096.5498	-647.84753	212.71901	1707.2784	148.6335711479187
24	0.0	333.0	0.0	-3858.4443	3145.021	374.0	-8655.0	-537.90857	323.41888	-102.239	-1023.904	-295.78	0.0	-295.78	-295.78	111.0	-1126.0	111.0	23999	-208.50906	163.1528	1089.6604	-637.14044	208.4656	1680.517	154.4988570213318
25	0.0	333.0	0.0	-3146.2222	2947.7476	3278.0	-6438.0	-471.694	299.91946	188.135	-802.97	-295.78	0.0	-295.78	-295.78	111.0	-1126.0	111.0	24999	-204.68912	159.84486	1134.107	-626.4629	204.68172	1636.5188	160.1719207763672
26	0.0	333.0	0.0	-2011.6666	3283.9607	3468.0	-9164.0	-351.37732	337.69278	208.633	-1086.696	-295.78	0.0	-295.78	-295.78	111.0	-1126.0	111.0	25999	-203.2122	159.0082	1134.154	-637.68115	203.22368	1623.1367	166.04791975021362
27	227.0	106.0	0.0	-1675.1	6689.4385	14384.0	-10168.0	-287.23553	657.6889	1347.719	-1044.533	261.593	0.0	261.593	261.593	97.7	3558.0	111.0	26999	-197.6645	156.72523	1139.9099	-619.9263	196.85101	1579.7777	171.69142198562622
28	244.0	89.0	0.0	4179.4	6125.411	10297.0	-10089.0	315.28632	597.7274	927.84	-1038.21	270.27496	3.0517578e-05	270.275	270.275	104.4	3870.0	111.0	27999	-187.36116	158.37102	1163.8219	-600.021	186.18048	1544.8405	177.09092617034912
29	252.0	81.0	0.0	4092.111	5888.7705	12178.0	-10567.0	303.58768	560.2114	1077.504	-1083.744	717.837	0.0	717.837	717.837	103.55556	8372.0	111.0	28999	-173.49638	164.81628	1122.4884	-593.47107	172.27838	1640.4817	183.04554390907288
30	228.0	105.0	0.0	5906.8	6721.0825	13853.0	-10339.0	489.24765	657.5186	1306.21	-1061.84	601.40607	6.1035156e-05	601.406	601.406	104.3	7822.0	111.0	29999	-162.67229	168.10912	1186.5005	-618.29535	161.40677	1672.0151	188.51546597480774
31	229.0	104.0	0.0	6718.1113	3414.2761	12458.0	1216.0	557.2799	342.7892	1151.257	11.958	601.516	0.0	601.516	601.516	111.0	7822.0	111.0	30999	-149.85733	173.65671	1120.0752	-575.23865	148.54964	1785.4498	194.48251700401306
32	228.0	105.0	0.0	1219.5454	10139.661	22290.0	-10484.0	47.302525	991.3447	2174.504	-1074.06	601.40607	6.1035156e-05	601.406	601.406	86.63636	7822.0	111.0	31999	-138.12726	181.73515	1207.3386	-577.0869	136.74782	1923.1813	201.02288007736206
33	265.0	68.0	0.0	1420.75	9520.125	14605.0	-10445.0	57.30834	918.3533	1354.842	-1072.66	814.541	0.0	814.541	814.541	88.75	9275.0	111.0	32999	-124.05949	193.27869	1457.2294	-575.4216	122.638824	2015.3115	207.6762089729309
34	259.0	74.0	0.0	-331.58334	8634.01	9602.0	-10650.0	-109.647484	823.7326	873.697	-1086.47	191.24698	1.5258789e-05	191.247	191.247	82.833336	3204.0	111.0	33999	-115.04346	197.2488	1484.057	-557.7746	113.57316	2081.2732	214.21044898033142
35	230.0	103.0	0.0	-45.0	5741.136	8309.0	-10179.0	-109.267006	543.28046	711.751	-1043.102	638.916	0.0	638.916	638.916	97.4	8196.0	111.0	34999	-107.18085	201.3507	1563.5449	-566.5473	105.66685	2183.1602	219.9768681526184
36	229.0	104.0	0.0	106.90909	8144.0312	9125.0	-10828.0	-79.85909	768.0474	797.83	-1103.033	601.516	0.0	601.516	601.516	86.63636	7822.0	111.0	35999	-97.75236	206.61844	1500.7744	-550.142	96.20998	2202.089	226.19989705085754
37	230.0	103.0	0.0	4484.9	6661.6875	18444.0	-10124.0	338.3397	652.0145	1752.272	-1038.53	638.916	0.0	638.916	638.916	104.2	8196.0	111.0	36999	-86.71261	209.24315	1589.411	-545.9679	85.138855	2316.1675	232.55057573318481
38	230.0	103.0	0.0	1133.7273	7754.032	10993.0	-10207.0	20.628824	742.80273	1007.476	-1050.124	638.916	0.0	638.916	638.916	92.818184	8196.0	111.0	37999	-77.00464	214.25766	1616.0126	-532.26807	75.41794	2445.564	238.50631284713745
39	259.0	74.0	0.0	5840.0	9333.054	23860.0	-10729.0	484.28528	931.5056	2298.205	-1101.24	772.8641	6.1035156e-05	772.864	772.864	103.55556	8898.0	111.0	38999	-67.393745	221.47614	1703.9042	-544.82245	65.78181	2444.9517	245.05779886245728
40	229.0	104.0	0.0	6735.3335	5047.727	17526.0	-322.0	561.9472	515.66376	1672.323	-162.553	601.516	0.0	601.516	601.516	111.0	7822.0	111.0	39999	-55.67722	228.83311	1791.7985	-544.2665	54.030685	2464.561	253.26056694984436
